"species","x","y"
"reef",129.5,30.5
"reef",130.5,30.5
"reef",131.5,30.5
"reef",47.5,29.5
"reef",48.5,29.5
"reef",50.5,29.5
"reef",129.5,29.5
"reef",48.5,28.5
"reef",50.5,28.5
"reef",129.5,28.5
"reef",-93.5,27.5
"reef",-78.5,27.5
"reef",-77.5,27.5
"reef",49.5,27.5
"reef",50.5,27.5
"reef",51.5,27.5
"reef",52.5,27.5
"reef",120.5,27.5
"reef",121.5,27.5
"reef",128.5,27.5
"reef",-80.5,26.5
"reef",-79.5,26.5
"reef",-78.5,26.5
"reef",-77.5,26.5
"reef",50.5,26.5
"reef",51.5,26.5
"reef",53.5,26.5
"reef",126.5,26.5
"reef",127.5,26.5
"reef",128.5,26.5
"reef",-173.5,25.5
"reef",-170.5,25.5
"reef",-80.5,25.5
"reef",-79.5,25.5
"reef",-78.5,25.5
"reef",-77.5,25.5
"reef",-76.5,25.5
"reef",50.5,25.5
"reef",51.5,25.5
"reef",59.5,25.5
"reef",60.5,25.5
"reef",121.5,25.5
"reef",122.5,25.5
"reef",123.5,25.5
"reef",124.5,25.5
"reef",125.5,25.5
"reef",-167.5,24.5
"reef",-83.5,24.5
"reef",-82.5,24.5
"reef",-81.5,24.5
"reef",-80.5,24.5
"reef",-79.5,24.5
"reef",-78.5,24.5
"reef",-77.5,24.5
"reef",-76.5,24.5
"reef",-75.5,24.5
"reef",118.5,24.5
"reef",119.5,24.5
"reef",121.5,24.5
"reef",122.5,24.5
"reef",123.5,24.5
"reef",124.5,24.5
"reef",125.5,24.5
"reef",-166.5,23.5
"reef",-164.5,23.5
"reef",-109.5,23.5
"reef",-88.5,23.5
"reef",-82.5,23.5
"reef",-81.5,23.5
"reef",-80.5,23.5
"reef",-79.5,23.5
"reef",-78.5,23.5
"reef",-77.5,23.5
"reef",-76.5,23.5
"reef",-75.5,23.5
"reef",-74.5,23.5
"reef",36.5,23.5
"reef",38.5,23.5
"reef",57.5,23.5
"reef",58.5,23.5
"reef",119.5,23.5
"reef",121.5,23.5
"reef",-89.5,22.5
"reef",-88.5,22.5
"reef",-84.5,22.5
"reef",-83.5,22.5
"reef",-81.5,22.5
"reef",-80.5,22.5
"reef",-79.5,22.5
"reef",-78.5,22.5
"reef",-77.5,22.5
"reef",-76.5,22.5
"reef",-75.5,22.5
"reef",-74.5,22.5
"reef",-73.5,22.5
"reef",35.5,22.5
"reef",36.5,22.5
"reef",37.5,22.5
"reef",38.5,22.5
"reef",39.5,22.5
"reef",59.5,22.5
"reef",68.5,22.5
"reef",69.5,22.5
"reef",70.5,22.5
"reef",114.5,22.5
"reef",120.5,22.5
"reef",-159.5,21.5
"reef",-158.5,21.5
"reef",-157.5,21.5
"reef",-97.5,21.5
"reef",-92.5,21.5
"reef",-91.5,21.5
"reef",-90.5,21.5
"reef",-89.5,21.5
"reef",-88.5,21.5
"reef",-86.5,21.5
"reef",-84.5,21.5
"reef",-83.5,21.5
"reef",-82.5,21.5
"reef",-81.5,21.5
"reef",-79.5,21.5
"reef",-78.5,21.5
"reef",-77.5,21.5
"reef",-76.5,21.5
"reef",-75.5,21.5
"reef",-73.5,21.5
"reef",-72.5,21.5
"reef",-71.5,21.5
"reef",36.5,21.5
"reef",37.5,21.5
"reef",38.5,21.5
"reef",39.5,21.5
"reef",69.5,21.5
"reef",70.5,21.5
"reef",120.5,21.5
"reef",121.5,21.5
"reef",-156.5,20.5
"reef",-92.5,20.5
"reef",-91.5,20.5
"reef",-90.5,20.5
"reef",-87.5,20.5
"reef",-86.5,20.5
"reef",-78.5,20.5
"reef",-77.5,20.5
"reef",-75.5,20.5
"reef",-74.5,20.5
"reef",-72.5,20.5
"reef",37.5,20.5
"reef",39.5,20.5
"reef",40.5,20.5
"reef",57.5,20.5
"reef",58.5,20.5
"reef",70.5,20.5
"reef",71.5,20.5
"reef",72.5,20.5
"reef",107.5,20.5
"reef",109.5,20.5
"reef",110.5,20.5
"reef",116.5,20.5
"reef",121.5,20.5
"reef",-155.5,19.5
"reef",-95.5,19.5
"reef",-92.5,19.5
"reef",-87.5,19.5
"reef",-81.5,19.5
"reef",-77.5,19.5
"reef",-73.5,19.5
"reef",-72.5,19.5
"reef",-71.5,19.5
"reef",-70.5,19.5
"reef",-69.5,19.5
"reef",-68.5,19.5
"reef",37.5,19.5
"reef",38.5,19.5
"reef",39.5,19.5
"reef",40.5,19.5
"reef",57.5,19.5
"reef",72.5,19.5
"reef",92.5,19.5
"reef",93.5,19.5
"reef",105.5,19.5
"reef",108.5,19.5
"reef",109.5,19.5
"reef",110.5,19.5
"reef",111.5,19.5
"reef",121.5,19.5
"reef",-87.5,18.5
"reef",-78.5,18.5
"reef",-77.5,18.5
"reef",-76.5,18.5
"reef",-74.5,18.5
"reef",-73.5,18.5
"reef",-72.5,18.5
"reef",-70.5,18.5
"reef",-69.5,18.5
"reef",-68.5,18.5
"reef",-67.5,18.5
"reef",-64.5,18.5
"reef",-63.5,18.5
"reef",37.5,18.5
"reef",38.5,18.5
"reef",40.5,18.5
"reef",41.5,18.5
"reef",56.5,18.5
"reef",57.5,18.5
"reef",72.5,18.5
"reef",93.5,18.5
"reef",94.5,18.5
"reef",105.5,18.5
"reef",106.5,18.5
"reef",109.5,18.5
"reef",120.5,18.5
"reef",121.5,18.5
"reef",122.5,18.5
"reef",-87.5,17.5
"reef",-77.5,17.5
"reef",-76.5,17.5
"reef",-71.5,17.5
"reef",-67.5,17.5
"reef",-66.5,17.5
"reef",-65.5,17.5
"reef",-63.5,17.5
"reef",-62.5,17.5
"reef",38.5,17.5
"reef",39.5,17.5
"reef",41.5,17.5
"reef",42.5,17.5
"reef",54.5,17.5
"reef",55.5,17.5
"reef",56.5,17.5
"reef",73.5,17.5
"reef",94.5,17.5
"reef",107.5,17.5
"reef",111.5,17.5
"reef",120.5,17.5
"reef",122.5,17.5
"reef",-87.5,16.5
"reef",-86.5,16.5
"reef",-85.5,16.5
"reef",-83.5,16.5
"reef",-78.5,16.5
"reef",-61.5,16.5
"reef",39.5,16.5
"reef",40.5,16.5
"reef",41.5,16.5
"reef",42.5,16.5
"reef",54.5,16.5
"reef",73.5,16.5
"reef",94.5,16.5
"reef",108.5,16.5
"reef",111.5,16.5
"reef",112.5,16.5
"reef",119.5,16.5
"reef",120.5,16.5
"reef",121.5,16.5
"reef",122.5,16.5
"reef",-83.5,15.5
"reef",-82.5,15.5
"reef",-61.5,15.5
"reef",39.5,15.5
"reef",40.5,15.5
"reef",41.5,15.5
"reef",42.5,15.5
"reef",94.5,15.5
"reef",109.5,15.5
"reef",111.5,15.5
"reef",119.5,15.5
"reef",120.5,15.5
"reef",121.5,15.5
"reef",145.5,15.5
"reef",-83.5,14.5
"reef",-82.5,14.5
"reef",-81.5,14.5
"reef",-61.5,14.5
"reef",-60.5,14.5
"reef",40.5,14.5
"reef",42.5,14.5
"reef",49.5,14.5
"reef",50.5,14.5
"reef",74.5,14.5
"reef",93.5,14.5
"reef",97.5,14.5
"reef",120.5,14.5
"reef",121.5,14.5
"reef",122.5,14.5
"reef",123.5,14.5
"reef",-83.5,13.5
"reef",-82.5,13.5
"reef",-81.5,13.5
"reef",-61.5,13.5
"reef",-59.5,13.5
"reef",92.5,13.5
"reef",93.5,13.5
"reef",97.5,13.5
"reef",98.5,13.5
"reef",100.5,13.5
"reef",109.5,13.5
"reef",120.5,13.5
"reef",121.5,13.5
"reef",122.5,13.5
"reef",123.5,13.5
"reef",124.5,13.5
"reef",-83.5,12.5
"reef",-82.5,12.5
"reef",-72.5,12.5
"reef",-71.5,12.5
"reef",-70.5,12.5
"reef",-69.5,12.5
"reef",-68.5,12.5
"reef",-61.5,12.5
"reef",52.5,12.5
"reef",79.5,12.5
"reef",92.5,12.5
"reef",93.5,12.5
"reef",97.5,12.5
"reef",98.5,12.5
"reef",100.5,12.5
"reef",109.5,12.5
"reef",119.5,12.5
"reef",120.5,12.5
"reef",121.5,12.5
"reef",122.5,12.5
"reef",123.5,12.5
"reef",124.5,12.5
"reef",-85.5,11.5
"reef",-74.5,11.5
"reef",-73.5,11.5
"reef",-72.5,11.5
"reef",-71.5,11.5
"reef",-69.5,11.5
"reef",-66.5,11.5
"reef",-64.5,11.5
"reef",-63.5,11.5
"reef",-61.5,11.5
"reef",-60.5,11.5
"reef",71.5,11.5
"reef",72.5,11.5
"reef",73.5,11.5
"reef",75.5,11.5
"reef",79.5,11.5
"reef",92.5,11.5
"reef",93.5,11.5
"reef",97.5,11.5
"reef",98.5,11.5
"reef",99.5,11.5
"reef",109.5,11.5
"reef",116.5,11.5
"reef",117.5,11.5
"reef",118.5,11.5
"reef",119.5,11.5
"reef",120.5,11.5
"reef",121.5,11.5
"reef",122.5,11.5
"reef",123.5,11.5
"reef",124.5,11.5
"reef",125.5,11.5
"reef",165.5,11.5
"reef",166.5,11.5
"reef",-85.5,10.5
"reef",-83.5,10.5
"reef",-75.5,10.5
"reef",-68.5,10.5
"reef",-67.5,10.5
"reef",-66.5,10.5
"reef",-65.5,10.5
"reef",-64.5,10.5
"reef",-63.5,10.5
"reef",-61.5,10.5
"reef",-60.5,10.5
"reef",72.5,10.5
"reef",73.5,10.5
"reef",92.5,10.5
"reef",97.5,10.5
"reef",98.5,10.5
"reef",99.5,10.5
"reef",107.5,10.5
"reef",108.5,10.5
"reef",113.5,10.5
"reef",114.5,10.5
"reef",116.5,10.5
"reef",117.5,10.5
"reef",118.5,10.5
"reef",119.5,10.5
"reef",120.5,10.5
"reef",121.5,10.5
"reef",122.5,10.5
"reef",123.5,10.5
"reef",124.5,10.5
"reef",125.5,10.5
"reef",139.5,10.5
"reef",169.5,10.5
"reef",-85.5,9.5
"reef",-84.5,9.5
"reef",-83.5,9.5
"reef",-82.5,9.5
"reef",-81.5,9.5
"reef",-79.5,9.5
"reef",-78.5,9.5
"reef",-77.5,9.5
"reef",76.5,9.5
"reef",78.5,9.5
"reef",79.5,9.5
"reef",80.5,9.5
"reef",92.5,9.5
"reef",97.5,9.5
"reef",98.5,9.5
"reef",99.5,9.5
"reef",100.5,9.5
"reef",102.5,9.5
"reef",103.5,9.5
"reef",104.5,9.5
"reef",113.5,9.5
"reef",114.5,9.5
"reef",116.5,9.5
"reef",117.5,9.5
"reef",118.5,9.5
"reef",119.5,9.5
"reef",121.5,9.5
"reef",122.5,9.5
"reef",123.5,9.5
"reef",124.5,9.5
"reef",125.5,9.5
"reef",138.5,9.5
"reef",139.5,9.5
"reef",160.5,9.5
"reef",165.5,9.5
"reef",169.5,9.5
"reef",170.5,9.5
"reef",-83.5,8.5
"reef",-82.5,8.5
"reef",-81.5,8.5
"reef",-80.5,8.5
"reef",-79.5,8.5
"reef",76.5,8.5
"reef",77.5,8.5
"reef",78.5,8.5
"reef",79.5,8.5
"reef",81.5,8.5
"reef",92.5,8.5
"reef",93.5,8.5
"reef",97.5,8.5
"reef",98.5,8.5
"reef",100.5,8.5
"reef",106.5,8.5
"reef",113.5,8.5
"reef",114.5,8.5
"reef",116.5,8.5
"reef",117.5,8.5
"reef",118.5,8.5
"reef",122.5,8.5
"reef",123.5,8.5
"reef",124.5,8.5
"reef",125.5,8.5
"reef",148.5,8.5
"reef",149.5,8.5
"reef",150.5,8.5
"reef",167.5,8.5
"reef",-82.5,7.5
"reef",-81.5,7.5
"reef",-80.5,7.5
"reef",72.5,7.5
"reef",79.5,7.5
"reef",81.5,7.5
"reef",93.5,7.5
"reef",98.5,7.5
"reef",99.5,7.5
"reef",109.5,7.5
"reef",110.5,7.5
"reef",113.5,7.5
"reef",114.5,7.5
"reef",116.5,7.5
"reef",117.5,7.5
"reef",118.5,7.5
"reef",122.5,7.5
"reef",123.5,7.5
"reef",124.5,7.5
"reef",125.5,7.5
"reef",134.5,7.5
"reef",146.5,7.5
"reef",148.5,7.5
"reef",149.5,7.5
"reef",151.5,7.5
"reef",152.5,7.5
"reef",168.5,7.5
"reef",171.5,7.5
"reef",72.5,6.5
"reef",73.5,6.5
"reef",79.5,6.5
"reef",80.5,6.5
"reef",81.5,6.5
"reef",93.5,6.5
"reef",99.5,6.5
"reef",100.5,6.5
"reef",115.5,6.5
"reef",116.5,6.5
"reef",117.5,6.5
"reef",118.5,6.5
"reef",120.5,6.5
"reef",121.5,6.5
"reef",122.5,6.5
"reef",123.5,6.5
"reef",124.5,6.5
"reef",125.5,6.5
"reef",126.5,6.5
"reef",157.5,6.5
"reef",158.5,6.5
"reef",72.5,5.5
"reef",73.5,5.5
"reef",80.5,5.5
"reef",95.5,5.5
"reef",100.5,5.5
"reef",102.5,5.5
"reef",103.5,5.5
"reef",114.5,5.5
"reef",115.5,5.5
"reef",116.5,5.5
"reef",117.5,5.5
"reef",118.5,5.5
"reef",119.5,5.5
"reef",120.5,5.5
"reef",121.5,5.5
"reef",124.5,5.5
"reef",125.5,5.5
"reef",157.5,5.5
"reef",169.5,5.5
"reef",72.5,4.5
"reef",73.5,4.5
"reef",95.5,4.5
"reef",96.5,4.5
"reef",103.5,4.5
"reef",107.5,4.5
"reef",108.5,4.5
"reef",118.5,4.5
"reef",119.5,4.5
"reef",125.5,4.5
"reef",126.5,4.5
"reef",-78.5,3.5
"reef",72.5,3.5
"reef",73.5,3.5
"reef",95.5,3.5
"reef",96.5,3.5
"reef",97.5,3.5
"reef",99.5,3.5
"reef",105.5,3.5
"reef",106.5,3.5
"reef",107.5,3.5
"reef",108.5,3.5
"reef",125.5,3.5
"reef",126.5,3.5
"reef",172.5,3.5
"reef",-78.5,2.5
"reef",45.5,2.5
"reef",46.5,2.5
"reef",72.5,2.5
"reef",73.5,2.5
"reef",95.5,2.5
"reef",96.5,2.5
"reef",97.5,2.5
"reef",98.5,2.5
"reef",102.5,2.5
"reef",103.5,2.5
"reef",104.5,2.5
"reef",105.5,2.5
"reef",106.5,2.5
"reef",107.5,2.5
"reef",108.5,2.5
"reef",109.5,2.5
"reef",117.5,2.5
"reef",118.5,2.5
"reef",127.5,2.5
"reef",128.5,2.5
"reef",-157.5,1.5
"reef",45.5,1.5
"reef",73.5,1.5
"reef",97.5,1.5
"reef",98.5,1.5
"reef",103.5,1.5
"reef",104.5,1.5
"reef",107.5,1.5
"reef",118.5,1.5
"reef",119.5,1.5
"reef",121.5,1.5
"reef",124.5,1.5
"reef",125.5,1.5
"reef",127.5,1.5
"reef",128.5,1.5
"reef",173.5,1.5
"reef",73.5,0.5
"reef",97.5,0.5
"reef",98.5,0.5
"reef",99.5,0.5
"reef",103.5,0.5
"reef",104.5,0.5
"reef",106.5,0.5
"reef",107.5,0.5
"reef",108.5,0.5
"reef",117.5,0.5
"reef",118.5,0.5
"reef",119.5,0.5
"reef",120.5,0.5
"reef",121.5,0.5
"reef",122.5,0.5
"reef",123.5,0.5
"reef",124.5,0.5
"reef",127.5,0.5
"reef",128.5,0.5
"reef",129.5,0.5
"reef",130.5,0.5
